column_in_exp_file	column_in_metadata
Astro	Astro
CA1	CA1
CA1-do	CA1-do
CA1-ProS	CA1-ProS
CA1-ve	CA1-ve
CA2-IG-FC	CA2-IG-FC
CA3-do	CA3-do
CA3-ve	CA3-ve
Car3	Car3
CR	CR
CT_SUB	CT_SUB
DG	DG_Prox1
Endo	Endo
IT_HATA	IT_HATA
L2_IT_APr	L2_IT_APr
L2_IT_ENTl	L2_IT_ENTl
L2_IT_ENTm	L2_IT_ENTm
L2_IT_RSP-ACA	L2_IT_RSP-ACA
L2_IT_RSPv-POST-PRE	L2_IT_RSPv-POST-PRE
L2/3_IT_AI	L2/3_IT_AI
L2/3_IT_CTX	L2/3_IT_CTX
L2/3_IT_ENTl	L2/3_IT_ENTl
L2/3_IT_PAR	L2/3_IT_PAR
L2/3_IT_POST-PRE	L2/3_IT_POST-PRE
L2/3_IT_ProS	L2/3_IT_ProS_Dcn
L3_IT_ENTl	L3_IT_ENTl
L3_IT_ENTm	L3_IT_ENTm
L4_IT_CTX	L4_IT_CTX
L4_RSP-ACA	L4_RSP-ACA
L4/5_IT_CTX	L4/5_IT_CTX_Cux2
L5_IT_CTX	L5_IT_CTX
L5_IT_RSP-ACA	L5_IT_RSP-ACA
L5_PPP	L5_PPP
L5_PT_CTX	L5_PT_CTX
L5/6_IT_CTX	L5/6_IT_CTX
L5/6_IT_PFC	L5/6_IT_PFC
L5/6_IT_TPE-ENT	L5/6_IT_TPE-ENT
L5/6_NP_CT_CTX	L5/6_NP_CT_CTX_Sla2
L5/6_NP_CTX	L5/6_NP_CTX
L6_CT_CTX	L6_CT_CTX
L6_CT_ENT	L6_CT_ENT_Rasgrf2
L6_IT_CTX	L6_IT_CTX
L6_IT_ENTl	L6_IT_ENTl
L6b_CTX	L6b_CTX
L6b_ENT	L6b_ENT_Cplx3
L6b_RHP	L6b_RHP_Nxph4
Lamp5	Lamp5
Lamp5_Lhx6	Lamp5_Lhx6
Meis2	Meis2
Meis2_HPF	MIcro
Micro-PVM	PVM
Mossy	Mossy
NP_PPP	NP_PPP
NP_SUB	NP_SUB
Ntng1_HPF	Ntng1
Oligo	Oligo
Pax6	Pax6
ProS	ProS
Pvalb	Pvalb
Pvalb_Vipr2	Pvalb_Vipr2
SMC-Peri	SMC
Sncg	Sncg
Sst	Sst
Sst_Chodl	Sst_Chodl
Sst_HPF	Sst_Lmo1_HPF
SUB	SUB
Vip	Vip
Vip_HPF	Vip_Cbln4_HPF
Vip_Igfbp6	Vip_Igfbp6
VLMC	VLMC